Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power
20230820_031510-031710,Rockfall,0.0032392623611764244,0.9634145577027721,-0.03737015570383104,2.930196843207262,0.9634200033289075,4.1362260583341355,2784.534308442817,68,0.9,1.0042879594442105,4.010182396191065,0.0,0.8099999999999998,0.6143871489216327
20230830_035020-035220,Rockfall,-0.006273742968104943,1.0726647017415618,-0.010582734756356777,0.7594352623162886,1.0726830483479934,3.2901946047668913,3451.9467666394303,76,1.2333333333333334,1.160412168264827,4.001870282384479,0.0,1.3299999999999998,0.6006255896962298
20230820_203620-203820,Rockfall,0.0012989766304298935,1.094077215513893,0.03214720409981797,0.134278189095427,1.0940779866384844,3.322751383608648,3591.0199225407587,66,1.0666666666666667,1.091401099401308,4.207538516350093,4.0,1.1899999999999997,0.6117336580140932
20230910_101140-101340,Rockfall,0.008686840321232195,0.6588881545463798,-0.0195438520227993,-0.2664811940112144,0.6589454160977984,1.9133027619243552,1302.6271841889022,62,0.8333333333333334,1.003391766491139,3.8925028291103656,254.0,0.3499999999999999,0.4077100206621565
20230905_073250-073450,Rockfall,0.0024983923272766436,0.8032974555207982,-0.14805417533661908,1.1677366958485988,0.8033013407248926,2.8308274123150676,1935.8791320312298,80,1.5666666666666667,1.3155836764108046,4.484895198241212,340.0,1.0099999999999998,0.4017128826591524
20230830_164000-164200,Rockfall,0.006769549832196953,0.8749017701103526,-0.06702649127360093,0.08400087549615876,0.874927959404178,2.5940487012394007,2296.496802441477,70,1.3333333333333333,1.118226091053265,4.106122005234748,348.0,0.9699999999999999,0.5020672287581317
20230903_132420-132620,Rockfall,-0.0019660751911903633,0.9494287900490893,0.17796455870582364,1.6606366731253592,0.9494308257191437,3.4761939898460996,2704.2566784772052,64,0.8666666666666667,1.0463413613175778,4.030512050525141,358.0,1.3499999999999999,0.490860579587047
20230820_191840-192040,Rockfall,0.0056471311341116884,0.8689351202130052,-0.22300569896628689,0.8465722706914391,0.8689534701177248,3.2254862163468827,2265.240399688907,68,1.0333333333333332,1.1076790419156337,4.461869681909429,134.0,0.16999999999999998,0.6579792766595534
20230901_010240-010440,Rockfall,0.005002101776793583,0.9696408324084699,0.11610235707556137,-0.34167589063581083,0.9696537345341254,2.919077248096085,2820.6850946879285,66,1.1333333333333333,1.1138486017994558,4.070639318980046,180.0,0.36999999999999994,0.535990433217434
20230905_114040-114240,Rockfall,-0.0027170680003195924,1.049104299798336,0.024526376516218404,0.329461811151881,1.0491078182502862,3.3573401840145487,3301.881642941626,68,0.8666666666666667,1.084298779339834,4.124767501378734,0.0,1.2099999999999997,0.6104505103427056
